id,Title,Human,Machine
1,Francis In The Navy,"U. S. Army officer Lt. Peter Sterling gets mistaken for his lookalike in the U. S. Navy, Bosun's Mate 'Slicker' Donevan, and as a result gets promptly shipped to Donevan's base. With his old pal Francis, Sterling continues his military career misadventures, this time in the Navy.",Francis in the Navy is the story of a young man who joins the Royal Navy as a midshipman and falls in love with the daughter of the captain of a merchant ship.
2,The Convent,"The journey of Michael Padovic, a professor from the U.S.A, who arrives with his wife, Helene, at a Portuguese convent where he expects to find the documents needed to prove his theory: Shakespeare was born in Spain, not in England, and was Jewish. The main characters arrive at the convent where they are greeted by an enigmatic stranger who refers to himself as Baltar; he is the keeper of the convent. Other characters include a fisherman, the beautiful bookkeeper who is attracted to Dr. Padovic's work, and an elderly man who goes by the name of Balthazar.","The Convent of Notre Dame de Namur tells the story of a young girl who is sent to a convent after the death of her parents. She is placed under the care of Sister Catherine, a strict disciplinarian, and is forced to live in the convent for the rest of her life. She soon finds out that the convent is not a convent at all, but rather an institution for the criminally insane, and she soon finds herself falling in love with Sister Catherine."
3,Ma And Pa Kettle On Vacation,"In May 1953, Ma and Pa Kettle are invited, by their daughter-in-law Kim's parents, Jonathan and Elizabeth Parker, to a trip to Paris. Leaving the kids with an Indian babysitter, Ma and Pa head out to France on an airplane. Upon arrival, they get caught into a circle with a famous gang, that wants an envelope that is in Pa's possession.","Ma and Pa Kettle go on vacation with their daughter and son-in-law. The Kettles are on their way to visit Pa's brother, who is away on a business trip. On the way, they pick up a hitchhiker, who turns out to be Ma's ex-boyfriend, who has just been released from prison after serving time for a murder he didn't commit."
4,Daylight Fades,"Elizabeth, a tough, jaded young woman, and Johnny, a shy, kind-hearted young man, meet at a bar and quickly become an inseparable couple. Almost just as quickly, though, Elizabeth, who'd been abandoned by her father before she was born and whose stepfather is an abusive alcoholic, becomes uncomfortable with just how much she needs Johnny. Johnny, knowing he just wants to be with her, needs Elizabeth to commit and admit her love for him. When she can't, they have a falling out. One night soon after, Johnny is in a car accident. The doctors determine that he doesn’t have long to live. Elizabeth is devastated and filled with remorse. At the hospital, Seth, a guarded, reclusive man with a mysterious connection to Elizabeth, takes it upon himself to save Johnny in the only way that he can: he turns Johnny into a vampire. Struggling to come to terms with their past, present, and each other, Elizabeth, Johnny, and Seth must do nothing less than discover who they truly are and what they're really capable of. Daylight Fades is a film that explores loss, regret, love, redemption, mortality, and the bonds that can keep us together or pull us apart. It's a story about people who are desperate for a second chance, realizing it may be their last.","The film tells the story of a group of people who live in a small town in the American Southwest in the 1950s. The film is set in the small town of Pawnee, Arizona, and follows the lives of two brothers and their families as they struggle to make ends meet in the aftermath of the Civil War. The older brother, John, is a former Confederate soldier who has become an alcoholic and a drug addict. The younger brother, David, is an ex-convict who has recently been released from prison after serving time for the murder of his wife. The two brothers have been estranged since the death of their father, who was shot and killed in the line of duty during the war. The film begins with a flashback to the events that led up to the shooting of John's father. John and David's father was killed in a shootout with Confederate soldiers during the Battle of the Little Big Horn. David's mother was killed by Confederate soldiers, and his father's body was never found. David and David were raised by their aunt and uncle, who were both Confederate soldiers. David has a crush on his aunt's daughter, and David is in love with her, but she is not interested in him."
5,Temptation Island,"Four beauty pageant contestants, who are vying for the coveted title of ""Miss Manila Sunshine"", set sail on a yacht. They ended up stranded on a deserted island after their vessel caught fire. Together with three attractive young men, a maid, and the gay pageant director, the four ladies found life in the island anything but dull.","The film is set on an island off the coast of South Africa in the early 20th century. It is the story of a young woman who falls in love with the son of a rich industrialist, but is seduced by the son's father's mistress."
6,The Suckling,"As stated in the copy of one release of this film, ""THE SUCKLING has been compared to Alien for its claustrophobic intensity and Die Hard for its non-stop action."" Given the film's low budget and technical flaws, discerning filmgoers may disagree.","The Suckling tells the story of a young woman who falls in love with and marries a young man, but then discovers that he is a vampire. The film is set in the late 19th century."
7,English: An Autumn In London,"The lives of five characters from diverse backgrounds whose passage to the U.K. and its aftermath are dealt with in the film. Jayasurya plays Shankaran, a Kathakali artiste-turned-waiter who is an illegal immigrant. Nivin Pauly dons the role of Sibin, an IT executive with a roving eye. Mukesh plays Joy, a middle-class corner store owner with an extended family in London and all its concomitant problems and advantages. Nadia Moidu plays Saraswathy, a Tamil Brahmin. Married to a doctor, she has been in the U.K, for more than 20 years. Remya Nambeesan plays Gauri, a young married woman from a rustic background who arrives in London.","English: An Autumn in London tells the story of a group of English students who are invited to spend a weekend at a country house in the English countryside. The film is set in the late 1920s and early 1930s, during the English Civil War. The main character is a young Englishman who has been sent to London to complete his education. He meets a young woman who is also studying in London and falls in love with her. However, she is engaged to be married to the son of a local aristocrat."
8,Just Another Romantic Wrestling Comedy,"The film is about a Jewish man named Robert John who falls in love with a wrestling princess Sandy and it's a ""no holds barred"" quest for her love, the Jewish man finds he has to fight for his love as Sandy's dad is also a wrestler who only wants his daughter to marry a famous wrestler, and not a Jewish man with little money and no muscles. Robert also has to deal with Roxanne and Jennie along with others out to get him.","The film is a romantic comedy about a group of college students who go to a wrestling match in a small town to watch the World Heavyweight Championship Wrestling (WWE) match between the World Champion and the loser of the previous night's match, The Champ. The film follows the antics of the wrestlers as they try to win the match, while trying to avoid the advances of the Champ's girlfriend."
9,Young People,"Believing that it's good for their adopted daughter Wendy decide to retire their vaudeville act and move the family to a small New England town. But despite Wendy's many attempts to charm the locals, the ""show folk"" are given the cold shoulder. That is, until a hurricane hits the town, and because of the generosity, strength and conviction in the face of disaster, it appears that the troupers just might win over the residents in their new hometown after all.","Young People tells the story of a group of high school students in a small town in the south of France in the early 1990s. The film focuses on the lives of three teenagers, a boy, a girl, and a boy. The boy is the son of a wealthy family, and the girl is the daughter of a middle-class family. The father is a successful businessman, while the girl's family is poor and lives in a squalid apartment. The girl is in love with the boy, but the father does not approve of their relationship because he fears that his daughter will marry the boy's father."
10,Sound Off,An obnoxious nightclub comedian at Ciro's is drafted into the U.S. Army during the Korean War. At his arrival at his basic training he meets a WAC Lieutenant and romantically pursues her. His activities irritate his drill sergeant and the entire army when he goes AWOL for her. He is imprisoned and sentenced to thirty days hard labour that turns him into a soldier. Then he is shipped overseas to join the Special Services.,"Sound Off tells the story of a group of college students who decide to take part in a radio contest to see who can play the most popular song, ""Sound Off"". The contest is sponsored by a local radio station and features a variety of musical acts, including a variety show, a rock band, a jazz trio, a punk rock group, a country band and a rock group."
